DBA,Owner / Community_Name,Location_Address,County,Total_#_Sites,House district,Senate district
,HILLS HAVEN MHC LLC,"4205 HILLS HAVEN ROAD, BUCHANAN MI 49107",BERRIEN,94,37,17
,ADRIAN ESTATES MHP LLC,"1003 LANSING STREET, ADRIAN MI 49221",LENAWEE,26,34,16
,SOUTH HAVEN PARK MHP LLC,"73561 CHAMBERS STREET, SOUTH HAVEN MI 49090",VAN BUREN,53,38,20
ST JOE MOBILE HOME PARK,AVRA RENTALS & MOBILE HOME SALES LLC,"310 WEST ST JOE STREET, LITCHFIELD MI 49252",HILLSDALE,16,35,17
TANGLEWOOD VILLAGE,SUN TANGLEWOOD VILLAGE LLC,"25873  MANCHESTER DRIVE, FLAT ROCK MI 48134",WAYNE,248,28,4
TOWN AND COUNTRY MOBILE HOME ESTATES,EVERGREEN TOWN & COUNTRY MHP LLC,"51005 OLD MICHIGAN AVE, BELLEVILLE MI 48111",WAYNE,137,31,4
PINE VIEW ESTATES,SUN PINEVIEW ESTATES LLC,"6152 N GENESEE RD, FLINT MI 48506",GENESEE,1011,67,26
,SHADY OAKS PARK MHP LLC,"1977 WHITEHALL ROAD, MUSKEGON MI 49445",MUSKEGON,23,87,32
HUNTINGTON RUN MH,SUN HUNTINGTON RUN LLC,"6255 CRANBROOK LANE, KALAMAZOO MI 49009",KALAMAZOO,175,40,19
,CAMELOT VILLAS MHP LLC,"8300 COVENTRY BOULEVARD, MOUNT MORRIS MI 48458",GENESEE,259,67,26
,WESTWOOD MHP LLC,"4135 DOLAN DRIVE, FLINT MI 48504",GENESEE,216,69,27
,PHEASANT RUN MHP LLC,"1587 PHEASANT RUN DRIVE, FLINT MI 48532",GENESEE,179,69,27
,CEDAR HILL VILLAGE LLC,"11211 NICKPLATE ROAD, PEWAMO MI 48823",IONIA,13,93,33
,CRICKLEWOOD MHP LLC,"23604 36TH AVE, RAVENNA MI 49451",OTTAWA,62,89,33
,SOUTHGATE MHP LLC,"2425 E US-223, ADRIAN MI 49221",LENAWEE,48,34,16
VILLAGE VIEW MOBILE HOME PARK,VILLAGE VIEW ESTATES LLC,"258 COUNTY ROAD 665, PAW PAW MI 49079",VAN BUREN,71,39,20
GRAND VILLAGE MOBILE HOME PARK,AVRA RENTALS & MOBILE HOME SALES,"323 BOISMIER LANE, COLDWATER MI 49036",BRANCH,20,35,17
,THREE OAKS ESTATES MHP LLC,"6992 US 12, THREE OAKS MI 49128",BERRIEN,74,37,17
,RIVERVIEW ESTATES MHP LLC,"4599 PIGEON ROAD, ELKTON MI 48731",HURON,36,98,25
,CC WHITE BIRCH PROPERTY LLC,"477 MAPLE DRIVE, KAWKAWLIN MI 48631",BAY,249,96,35
,CC SHERWOOD FOREST PROPERTY LLC,"1133 YEOMANS STREET, IONIA MI 48846",IONIA,240,78,33
,THREE MILE LAKE MHP LLC,"63381 41ST STREET, PAW PAW MI 49079",VAN BUREN,45,39,20
MAPLE VIEW ESTATES OF MT PLEASANT,PESTEL PROPERTIES LLC,"1955 S CHIPPEWA ROAD, MT PLEASANT MI 48858",ISABELLA,99,92,34
MAPLE VIEW ESTATES OF MT PLEASANT,PESTEL PROPERTIES LLC,"10749 E PICKARD ROAD, MT PLEASANT MI 48858",ISABELLA,37,92,34
FOUR KORNERS ESTATES,KI SCHMELTZER LLC,"100 TAYLOR ROAD, GWINN MI 49841",MARQUETTE,14,109,38
ISABELLA VILLAGE MHP,ISABELLA VILLAGE MHP MT PLEASANT MI LLC,"5232 E BROADWAY ROAD, MT PLEASANT MI 48858",ISABELLA,170,92,34
RIVERSIDE CROSSING MHP,RIVERSIDE CROSSING MHP MONTROSE MI LLC,"10186 W FARRAND ROAD, MONTROSE MI 48457",GENESEE,142,97,26
PARK ESTATES,PARK ESTATES MHP BELLEVILLE MI,"51300 MICHIGAN AVENUE, BELLEVILLE MI 48111",WAYNE,128,31,4
,SAGINAW MHP 1 LLC,"5653 DIXIE HIGHWAY, SAGINAW MI 48601",SAGINAW,145,94,26
SAPPHIRE ESTATES MOBILE HOME PARK,COLORED STONE PROPERTIES LLC,"2375 138TH AVE, DORR MI 49323",ALLEGAN,55,43,20
COUNTRY VIEW MOBILE HOME COMMUNITY,COUNTRY VIEW MHC LLC,"19311 US-12, EDWARDSBURG MI 49445",CASS,42,36,17
,MCM MI GUN LAKE LLC,"11985 MARSH ROAD, SHELBYVILLE MI 49344",BARRY,92,43,18
LAKECREST MOBILE HOME PARK,T&C WEATHERFORD LLC,"661 LAKECREST DRIVE, COLDWATER MI 49036",BRANCH,21,35,17
,WHISPERING OAKS MHP LLC,"3517 W HOUGHTON LAKE DRIVE, HOUGHTON LAKE MI 48629",ROSCOMMON,26,105,36
,PARK VIEW MHC LLC,"299 BRISTIE STREET, PORTLAND MI 48875",IONIA,75,78,33
,ANDREWS ESTATES COMMUNITY LLC,"12034 E MICHIGAN AVE, GALESBURG MI 49053",KALAMAZOO,71,45,19
TWIN PINES MHP,TP MHP LLC,"6815 E 11 MILE ROAD, WARREN MI 48092",MACOMB,140,14,3
ANDOVER MH,SUN ANDOVER LLC,"1000 CAMBRY CIRCLE, GRASS LAKE MI 49240",JACKSON,126,46,14
,CC IDEAL VILLA PROPERTY LLC,"3660 S LAPEER ROAD, METAMORA MI 48455",LAPEER,168,67,24
,SILVER LAKE MHP LLC,"10987 SILVER LAKE ROAD, SOUTH LYON MI 48178",LIVINGSTON,27,49,22
,MI 2021 SOUTH CREEK LLC,"9120 VIENNA ROAD, MT MORRIS MI 48458",GENESEE,380,69,26
,"BEL AIR ESTATES MHP, LLC","2481 W SHERMAN BLVD., NORTON SHORES MI 49441",MUSKEGON,116,88,32
,MAPLE LANE MOBILE HOME PARK LLC,"65 S NORTH STREET, WHITE CLOUD MI 49349",NEWAYGO,47,101,33
,WELLINGTON ESTATES MHP LLC,"1527 W STATE STREET, BELDING MI 48809",IONIA,150,91,33
,GOLDEN POND ESTATES MHC LLC,"61600 YOUNGMAN ROAD, THREE RIVERS MI 49093",ST JOSEPH,41,36,17
,YES CENTURY PARK LLC,"215 NORTH CANAL ROAD, LANSING MI 48917",EATON,230,76,21
RIVER SPRINGS MHP LLC,RIVER GROVE MHP LLC,"9387 Old 31, Berrien Springs MI 49103",BERRIEN,199,37,17
,MASON JAMES VASSER ESTATES LLC,"5656 FREEWALD, MILLINGTON MI 48746",TUSCOLA,10,97,26
SYLVAN CROSSING,SUN SYLVAN CROSSING LLC,"23351 REDWOOD DRIVE, CHELSEA MI 48118",WASHTENAW,281,46,14
,ACACIA GLOBAL PROPERTIES LLC,"414 RUSSELL STREET, ALLEGAN MI 49010",ALLEGAN,10,43,20
,SUN VALLEY ESTATES MHP LLC,"180 MANTLE AVE, JACKSON MI 49202",JACKSON,231,46,14
RIVER HAVEN ESTATES MANUFACTURED HOUSING COMMUNITY,CADILLAC LEISURE PARTNERS LLC,"24 CABERFAE HIGHWAY, MANISTEE MI 49660",MANISTEE,69,102,32
TRAIL TREE VILLAGE,MI TRAIL TREE VILLAGE PROPERTY LLC,"175 N MICHIGAN AVE, COLDWATER MI 49036",BRANCH,143,35,17
NORTH TRAIL VILLAGE,MI NORTH TRAIL VILLAGE PROPERTY LLC,"100 N MAIN STREET, QUINCY MI 49082",BRANCH,42,35,17
,YES ACKELS LLC,"25151 DEQUINDER ROAD, MADISON HEIGHTS MI 48071",OAKLAND,116,8,3
,SUN MEADOWSTONE LLC,"601 BARTFIELD DRIVE, HASTINGS MI 49058",BARRY,231,78,18
MEADOWBROOK MANOR ESTATES,MI 2020 MEADOWBROOK LLC,"7280 W MT MORRIS RD, FLUSHING MI 48433",GENESEE,401,69,27
,SOUTHGATE MHC LLC,"12060 DIX TOLEDO RD, SOUTHGATE MI 48195",WAYNE,70,2,4
LANDMARK ESTATES MHP,"LME MHP, LLC","21908 DEQUNDRE ROAD, WARREN MI 48091",MACOMB,110,14,3
CHARLEVOIX ESTATES MH,SUN CHARLEVOIX ESTATES LLC,"6685 M-66, CHARLEVOIX MI 49720",CHARLEVOIX,189,107,37
,WILLOW PARK MHP LLC,"1055 LINCOLN AVE, HOLLAND MI 49423",ALLEGAN,69,86,31
,LINCOLN PARK MI MHP LLC,"3075 DIX HIGHWAY, LINCOLN PARK MI 48146",WAYNE,203,2,1
,THUNDER BAY ESTATES LLC,"624 RIPLEY BLVD., ALPENA MI 49707",ALPENA,65,106,36
RIVERSIDE ESTATES MOBILE HOME COMMUNITY,RIVERSIDE 2020 LLC,"6200 ARROWHEAD DR, FENNVILLE MI 49408",ALLEGAN,40,38,20
KAMPVILLA,WOODED BLISS LLC,"16632 US 31, BEAR LAKE MI 49614",MANISTEE,40,102,32
,LAKESHORE PINES LLC,"3193 PORT AUSTIN ROAD, PORT AUSTIN MI 48467",HURON,40,98,25
,KEEGO HARBOR MHC LLC,"3170 ORCHARD LAKE ROAD, KEEGO HARBOR MI 48320",OAKLAND,93,20,13
THE MANUFACTURED HOME COMMUNITY OF STERLING ESTATES,ADRIAN MOBILE HOME PARK LLC,"1203 DIVISION STREET, ADRIAN MI 49221",LENAWEE,296,34,16
,MORROW CROSSING LLC,"102 N 30TH STREET, GALESBURG MI 49053",KALAMAZOO,60,42,19
GUN RIVER WEST ML,MHC AFFORDABLE HOUSING ML LLC,"1066 MILLER ROAD, PLAINWELL MI 49080",ALLEGAN,61,42,18
ARLINGTON MANOR MHP,MOBILE HOME PARKS OF MICHIGAN LLC,"4885 MONTERAY DRIVE, MIDLAND MI 48642",BAY,99,95,35
,OAK GROVE TRAILER PARK LLC,"3341 PORT AUSTIN ROAD, PORT AUSTIN MI 48467",HURON,12,98,25
PINEVIEW MOBILE HOME PARK,APPLELAND INC,"6385 WHITES BRIDGE RAOD, BELDING MI 48809",IONIA,20,91,33
,PORTAGE TERRACE MHP LLC,"11247 PORTAGE ROAD, PORTAGE MI 49002",KALAMAZOO,81,42,19
BAYSIDE ESTATES,CONTINENTAL MHP LLC,"2420 PINETREE DRIVE, SEBEWAING MI 48759",HURON,74,98,25
,SUNSET PARK MHP LLC,"3720 BLACK HIGHWAY, ADRIAN MI 49221",LENAWEE,48,34,16
,LAKEWOOD ESTATES MHP LLC,"8000 WARREN WOODS ROAD, THREE OAKS MI 49128",BERRIEN,138,38,17
,HIDDEN RIVER SOUTH LLC,"3251 SOUTH ADRIAN HIGHWAY, ADRIAN MI 49221",LENAWEE,202,34,16
BAY CITY MHP,MIDLAND BAY CITY MHP LLC,"2836 E BISCAYNE ROAD, BAY CITY MI 48706",BAY,61,96,35
L'ANSE MHP,BIG RAPIDS ACQUISITION GROUP INC,"ROUTE 2, L'ANSE MI 49946",BARAGA,37,109,38
,HIDDEN RIVER NORTH LLC,"975 W BEECHER STREET, ADRIAN MI 49221",LENAWEE,212,34,16
SUNNY SOUTH VILLA MOBILE HOME PARK,PACIFICA SHREWSBURY LLC,"15377 TELEGRAPH ROAD, MONROE MI 48161",MONROE,68,30,16
,BAY VILLAGE STANTON LLC,"410 W PINE STREET, STANTON MI 48888",MONTCALM,52,91,33
HUNTERS GLEN MANUFACTURED HOMES COMMUNITY,SUN HUNTERS GLEN LLC,"1132 HUNTERS GLEN BLVD, WAYLAND MI 49348",ALLEGAN,396,79,18
EAGLES LANDING ESTATES,BUEL HILL ESTATES MHP LLC,"2335 PECK ROAD, CROSWELL MI 48422",SANILAC,235,98,25
SYLVAN GLEN ESTATES,SUN SYLVAN GLEN LLC,"6600 W. GRAND RIVER AVE, BRIGHTON MI 48114",LIVINGSTON,482,48,22
,UMH MI HIDDEN CREEK LLC,"6400 S DIXIE HWY, ERIE MI 48133",MONROE,351,30,16
LAKESHORE MOBILE HOME PARK,PACIFICA SOUTH  HAVEN LLC,"75641 16TH AVENUE, SOUTH HAVEN MI 49090",VAN BUREN,73,38,20
,DEV 902 MICHIGAN STREET LLC,"902 MICHIGAN STREET, NILES MI 49120",BERRIEN,19,37,17
APPLE GROVE MHC,THREE ASSET LLC,"1754 LAVENDER LANE, KENT CITY MI 48330",KENT,50,90,33
,PACIFICA SHREWSBURY LLC,"1560 EIFERT ROAD, HOLT MI 48842",INGHAM,51,74,21
,NEWBURG MEADOWS PARTNERS LLC,"9115 N UNION STREET, TECUMSEH MI 49286",LENAWEE,136,34,15
,BURKE HOLIDAY TERRACE LLC,"10845 PERCY LANE, MECOSTA MI 49332",MECOSTA,36,100,34
SIDE O LAKE RESORT,SIDE O LAKE MHC LLC,"15301 LAKESHORE DRIVE NE, GOWEN MI 49326",KENT,45,91,33
RIVERSIDE ESTATES MHP,MI RIVERSIDE ESTATES PROPERTY LLC,"14566 RED BUD TRAIL N, BUCHANAN MI 49107",BERRIEN,87,37,17
ARTHURS MOBILE HOME COMMUNITY/HIDDEN GARDEN MHC,PACIFICA SHREWSBURY LLC,"25821 TELEGRAPH ROAD, FLAT ROCK MI 48134",WAYNE,64,28,4
,MONROE MHP LLC,"6385 N MONROE STREET, MONROE MI 48162",MONROE,29,28,16
,DEEP LAKE RECREATION PARK LLC,"12337 LAIRD ROAD, BROOKLYN MI 49230",LENAWEE,98,34,16
,PINE HAVEN ESTATES LLC,"10400 PEWAMO, PEWAMO MI 48873",IONIA,50,93,33
AUGRES HARBOR MOBILE HOME PARK,PAIL FACE LLC,"300 S MAIN STREET, AUGRES MI 48703",ARENAC,19,99,36
,FAIRLANE ESTATES MHP LLC,"2195 E GRAND RIVER AVE, HOWELL MI 48843",LIVINGSTON,60,50,22
,COUNTRY HILL PINES MHC LLC,"4021 PECK ROAD, CROSWELL MI 48422",SANILAC,111,98,25
NORTH SHORE MHP,RYMBER LLC,"8632 E. HOUGHTON LAKE DRIVE, HOUGHTON LAKE MI 48629",ROSCOMMON,30,105,36
,27860 HICKLER LANE LLC,"27860 HICKLER LN, HARRISON TOWNSHIP MI 48045",MACOMB,24,62,12
,HARTWICK PINES MHP LLC,"4869 N BRIGHTON CIRCLE, GRAYLING MI 49738",CRAWFORD,49,105,36
CREEK VALLEY MHC,NP CREEK VALLEY MHC LLC,"521 BEDFORD ROAD N, BATTLE CREEK MI 49017",CALHOUN,166,44,18
UPPER HAND RENTALS,ARBUTUS ESTATES LLC,"908 ARBUTUS AVE, MANISTIQUE MI 49854",SCHOOLCRAFT,11,108,38
LINDEN PLACE MHC,CC LINDEN PLACE PROPERTY LLC,"4192 LINDEN ROAD, FLINT MI 48507",GENESEE,162,69,27
,CONTINENTAL COMMUNITIES LLC,"3127 MAPLE, WARREN MI 48091",MACOMB,265,14,3
,PARK RIDGE MI MHC LLC,"1300 MICHIGAN AVE, IRON MOUNTAIN MI 49801",DICKINSON,94,110,38
,MOTOR CITY MHP LLC,"23765 LAWERENCE AVE, WARREN MI 48091",MACOMB,126,14,3
HUNTERS CREEK MANUFACTURED HOME COMMUNITY,CLEAR VIEW MHC HOLDINGS LLC,"725 DEMILLE ROAD, LAPEER MI 48446",LAPEER,402,67,26
,PLEASANT LAKE PARK LLC,"11285 E PLEASANT LAKE RD, MANCHESTER MI 48158",WASHTENAW,24,47,14
,NEIGHBORS OF LEBLANC LLC,"21331 HAMILTON AVE, FARMINGTON HILLS MI 48336",OAKLAND,36,18,6
,BAKER MHP LLC,"1030 E COLUMBIA AVE, BATTLE CREEK MI 49014",CALHOUN,119,45,18
,LAKE BLUFF RETIREMENT COMMUNITY,"401 KENNEALLY BLVD, GLADSTONE MI 49837",DELTA,102,108,38
SUBURBAN ESTATE MOBILE HOME PARK,AEI ROARING FORK LLC,"7230 SUBURBAN DRIVE, TRAVERSE CITY MI 49685",GRAND TRAVERSE,75,103,37
,PIONEER VILLAGE MI MHC LLC,"777 PIONEER ROAD, MARQUETTE MI 49855",MARQUETTE,92,109,38
PORT OF CALL MOBILE HOME PARK,PACIFICA SOUTH HAVEN LLC,"68304 CR 380, SOUTH HAVEN MI 49090",VAN BUREN,61,38,20
,OAKVIEW MHC LLC,"1800 E. JORDAN ROAD, MT PLEASANT MI 48858",ISABELLA,46,92,34
,WOODLAND PARK MHP LLC,"8005 W GRAND RIVER AVE, BRIGHTON MI 48114",LIVINGSTON,65,49,22
MUNGER MOBILE HOMES,4785 MUNGER HOLDING LLC,"4785 MUNGER ROAD, YPSILANTI MI 48197",WASHTENAW,20,32,15
GALE VALLEY MHC LLC,CC GALE VALLEY PROPERTY LLC,"353 E MICHIGAN AVE, GALESBURG MI 49053",KALAMAZOO,226,42,19
HILLSIDE ACRES MHC,PORT OF CALL MHC LLC,"5200 BANKERS ROAD, READING MI 49274",HILLSDALE,42,35,17
OAKSIDE MHC,CC OAKSIDE PROPERTY LLC,"2752 W NORTH UNION ROAD, MIDLAND MI 48642",BAY,142,97,35
WHITTAKER OAKS,CC WHITTAKER OAKS PROPERTY LLC,"11333 WHITTAKER ROAD, WHITTAKER MI 48190",WASHTENAW,228,31,15
VALLEY ESTATES,CC VALLEY ESTATES PROPERTY LLC,"16751 TURNER ROAD, LANSING MI 48906",CLINTON,148,77,28
,WESTWINDS MHC LLC,"3462 E ROSEBUSH ROAD, ROSEBUSH MI 48878",ISABELLA,14,92,34
,"MAPLE LEAF VILLAGE, LLC","8649 S LOOMIS ROAD, SHEPHERD MI 48883",ISABELLA,20,92,34
FREELAND,CC FREELAND PROPERTY LLC,"10340 MIDLAND ROAD, FREELAND MI 48623",SAGINAW,120,97,35
PINE AIRE MOBILE HOME PARK LLC,PAVILION HOME SALES MHP LLC,"5480 ALPINE AVE NW, COMSTOCK PARK MI 49321",KENT,81,90,30
,SUPERIOR VIEW ESTATES LLC,"801 PROSPECT STREET, MUNISING MI 49862",ALGER,37,109,38
,MC COUNTRY HERITAGE PROPERTY LLC,"771 MARY JEAN COURT, DUNDEE MI 48131",MONROE,213,31,16
WASHBURN LAKE VILLAGE MHC,PORT OF CALL MHC LLC,"59502 LONG LAKE ROAD, COLON MI 49040",ST JOSEPH,43,36,17
BARRON LAKE AND ROSEBUSH ESTATES,BLBR ESTATES LLC,"1318 ZILKE ROAD, CASS MI 49120",CASS,20,37,17
BARRON LAKE AND ROSEBUSH ESTATES,BLRB ESTATES LLC,"2423 DICK STREET, NILES MI 49120",CASS,30,37,17
,L & M MHP LLC,"1804 WEST 18TH STREET, SAULT STE MARIE MI 49783",CHIPPEWA,154,107,37
,WINDSOR ESTATES OF DIMONDALE LLC,"6661 N CANAL ROAD, DIMONDALE MI 48821",EATON,470,76,21
,"MC RAWSONVILLE PROPERTY, LLC","10825 RAWSONVILLE ROAD, BELLEVILLE MI 48111",WAYNE,536,31,4
,SILVER CREEK VILLAGE INC,"5100 S ELMS ROAD, SWARTZ CREEK MI 48473",GENESEE,109,71,27
LAKEVIEW TRAILER COURT,GERALD BURTON,"320 CEDAR STREET, SANFORD MI 48657",MIDLAND,18,95,34
,NEIGHBORS OF WESTGATE TRAILS LLC,"4260 LAWRENCE, PINCONNING MI 48650",BAY,50,99,36
,MY PLACE AT PEARL BEACH LLC,"3812 POINTE TREMBLE ROAD, ALGONAC MI 48001",ST CLAIR,32,63,12
,MY PLACE AT THORN HOLLOW LLC,"9600 NOOK ROAD, ST CLAIR MI 48001",ST CLAIR,45,63,12
,WESTSHORE MHC LLC,"3201 S EUCLID AVENUE, BAY CITY MI 48706",BAY,150,96,35
OAK FOREST,EVERGREEN OAK FOREST MHP LLC,"20 POWELL STREET, BATTLE CREEK MI 49014",CALHOUN,95,45,18
,"CIRCLE DRIVE MHP, LLC","12380 185TH AVE, BIG RAPIDS MI 49307",MECOSTA,50,100,34
ALANSON ESTATES,JCKC ENTERPRISES LLC,"6760 S PROSPECT, ALANSON MI 49706",EMMET,20,107,37
ELLIS LANDING,ELLIS LANDING MHC LLC,"1283 E. Ellis Road, Norton Shores MI 49441",MUSKEGON,47,88,32
CHANNEL VIEW MHC,CC CHANNEL VIEW PROPERTY LLC,"5150 TAFT ROAD, ALGONAC MI 48001",ST CLAIR,337,63,12
,NORTHERN COVE PROPERTIES LLC,"12600 US-31 N, CHARLEVOIX MI 49720",CHARLEVOIX,35,107,37
GRAND LEDGE RAVINES MHC,CC GRAND LEDGE RAVINES PROPERTY LLC,"855 W JEFFERSON STREET, GRAND LEDGE MI 48837",EATON,219,77,21
,SHAMROCK VILLAGE MHC ESTATES LLC,"1811 N. TELEGRAPH ROAD, MONROE MI 48162",MONROE,76,29,16
GROVELAND MANOR MHC,YES GROVELAND MANOR LLC,"13318 SOUTH DIXIE HWY, HOLLY MI 48442",OAKLAND,186,68,24
HURON MOBILE HOME PARK LLC,EVERGREEN HURON MHP LLC,"163 NELSON ROAD, HARBOR BEACH MI 48441",HURON,54,98,25
,GENESEE VILLA LLC,"G-5125 N CENTER ROAD, FLINT MI 48506",GENESEE,93,67,26
,CARRIAGE WAY OF CHESTERFIELD LLC,"29800 GUILFORD CIRCLE, CHESTERFIELD MI 48051",MACOMB,798,63,12
,RIVERVIEW GLADWIN LLC,"2577 LAKESHORE DRIVE, GLADWIN MI 48624",Gladwin,37,99,34
HARDY PARK,HARDY MHP LLC,"3531 ANTOR ROAD, NEWAYGO MI 49337",NEWAYGO,56,101,33
CROCKERY MHC,NP SPRING LAKE LLC,"13251 STATE ROAD, NUNICA MI 49448",OTTAWA,165,88,31
,MOUNT MORRIS MOBILE HOME PARK LLC,"2198 E MOUNT MORRIS ROAD, MOUNT MORRIS MI 48458",GENESEE,391,67,26
WESTHAVEN MOBILE HOME PARK,COSMONET-WESTHAVEN LLC,"3251 TORREY ROAD, FLINT MI 48507",GENESEE,77,70,27
,CENTREVILLE MHP LLC,"135 N JANE STREET, CENTREVILLE MI 49032",ST JOSEPH,83,36,17
MOBILE MANOR MOBILE HOME PARK,EVERGREEN BRONSON LLC,"104 FIRST STREET, BRONSON MI 49028",BRANCH,29,35,17
TWIN MEADOWS,EVERGREEN TWIN MEADOWS LLC,"1021 E SCOTTWOOD AVE, BURTON MI 48529",GENESEE,105,70,27
,HURON RIVER MHC ESTATES LLC,"8025 S HURON RIVER DRIVE SOUTH, SOUTH ROCKWOOD MI 48179",MONROE,50,28,16
,BEACON MADISON OAKS HOMES LLC,"26131 DEQUINDRE ROAD, MADISON HEIGHTS MI 48071",OAKLAND,263,8,3
,PINE VILLAGE ESTATES LLC,"56289 MURRY STREET, MATTAWAN MI 49079",VAN BUREN,58,39,19
,FP EASTERN VILLA LLC,"3665 EASTERN AVE SE, WYOMING MI 49508",KENT,43,83,29
,FP COUNTRY CORNERS LLC,"6006 EASTERN AVE SE, GRAND RAPIDS MI 49548",KENT,49,79,20
,YES ROBIN GLEN LLC,"5720 EAST WASHINGTON ROAD, SAGINAW MI 48601",SAGINAW,511,97,35
,PINE CREST MANUFACTURED HOME COMMUNITY LLC,"1628 E CARO ROAD, CARO MI 48723",TUSCOLA,88,97,25
,GRAND COUNTRY MHC LLC,"13401 84TH AVE, COOPERSVILLE MI 49404",OTTAWA,52,89,30
FOX RUN MANUFACTURED HOME COMMUNITY,SUN FOX RUN LLC,"141 FOX RUN, BOYNE CITY MI 49712",CHARLEVOIX,68,107,37
,EDMORE MHC LLC,"525 GILSON STREET, EDMORE MI 48829",MONTCALM,18,91,33
FORNICOLA MHP,WOODSIDE ESTATES MANSFIELD LLC,"2501 ASHMUN STREET, SAULT STE MARIE MI 49783",CHIPPEWA,66,107,37
,JACKSON MICHIGAN MHP LLC,"3921 W. MICHIGAN AVE, JACKSON MI 49202",JACKSON,40,46,14