Name,County,Sites,FullstreetAddress,House district,Senate district
West Pine Island Manufactured Home Community, Muskegon ,30,"3534 Pinewood Trail, Holton, MI, 49425",102,32
Maple Island Estates, Muskegon ,129,"7311 White Road, Muskegon, MI, 49442",89,32
Mona Lake Mobile Home Park, Muskegon ,67,"3527 Hoyt Street, Muskegon, MI, 49444",87,32
West Pine Island, Muskegon ,30,"1091 East Laketon, Muskegon, MI, 49442",87,32
Crestview Estates MHC, Muskegon ,,"3290 Getty Street, Muskegon, MI, 49444",87,32
Brookhaven Estates, Newaygo ,178,"622 South Division Street, Newaygo, MI, 49337",101,33
Brooks Lake Mobile Home Park, Newaygo ,15,"2263 Spruell, Newaygo, MI, 49337",101,33
Country View Estates, Newaygo ,134,"401 Market Street, Fremont, MI, 49412",101,33
Fremont Hills Mobile Home Park, Newaygo ,58,"927 Lake Drive, Fremont, MI, 49412",101,33
Meadowview Village, Newaygo ,86,"1307 Locust Street, Fremont, MI, 49412",101,33
Rob-Ann Mobile Home Court, Newaygo ,84,"1215 Locust Street, Fremont, MI, 49412",101,33
Lake Forest Park, Newaygo ,70,"9502 South 2nd Street, Grant, MI, 49327",101,33
Leisure Time, Newaygo ,94,"4799 South Spruce Avenue, White Cloud, MI, 49349",101,33
Four Seasons Trailer Park, Newaygo ,56,"3531 Antor, Newaygo, MI, 49337",101,33
Maple Lane Mobile Home Park, Newaygo ,30,"65 South North Street, White Cloud, MI, 49349",101,33
Sportsman Park, Newaygo ,75,"2500 Sportsman Drive, White Cloud, MI, 49349",101,33
Zmrzlik Mobile Home Park, Newaygo ,,"277 Echo Drive, White Cloud, MI, 49349",101,33
The Woodlands, Oakland ,375,"1441 W. Romeo Rd., Oakland Township, MI, 48363",66,24
Sashabaw Meadows, Oakland ,511,"4359 Dogwood Boulevard, Clarkston, MI, 48348",66,24
Orion Lakes, Oakland ,423,"47 Bluebird Hill, Orion, MI, 48359",54,24
Ridgewood, Oakland ,500,"3331 Stoneybrook Drive, Milford, MI, 48380",51,23
White Lake, Oakland ,315,"1415 Fisk Road, White Lake, MI, 48386",51,23
Highland Greens Estates, Oakland ,907,"2377 North Milford Road, Highland, MI, 48357",51,23
Childs Lake Estates, Oakland ,619,"4377 Old Plank Road, Milford, MI, 48381",51,23
Kensington Place, Oakland ,488,"60501 Grand River, New Hudson, MI, 48165",49,23
Commerce Meadows, Oakland ,602,"2400 Meadows Circle Drive, Wixom, MI, 48393",51,23
Stratford Villa, Oakland ,409,"3333 Stratford Villa Way, Wixom, MI, 48393",51,23
Meadow Lake, Oakland ,425,"3951 Bentwood Circle West, White Lake, MI, 48383",51,23
Clarkston Lakes, Oakland ,498,"4260 Dogwood Blvd., Clarkston, MI, 48348",66,24
Sheffield Estates, Oakland ,228,"165 South Opdyke Road, Auburn Hills, MI, 48326",54,7
Rochester Estates, Oakland ,775,"600 Le Grand Boulevard West, Rochester, MI, 48307",55,9
South Lyon Woods, Oakland ,211,"530 Lanier St., South Lyon, MI, 48178",23,23
Troy Villa, Oakland ,282,"2100 Stephenson Highway, Troy, MI, 48083",56,9
College Heights, Oakland ,161,"3501 Auburn Road, Auburn Hills, MI, 48326",54,7
Cedarbrook Estates, Oakland ,691,"323 Le Grande Boulevard, White Lake, MI, 48383",51,23
Novi Meadows, Oakland ,401,"26250 Virginia Avenue, Novi, MI, 48374",21,13
Fawn Lake Estates, Oakland ,135,"831 North Pontiac Trail, Walled Lake, MI, 48390",49,13
Lake Villa, Oakland ,850,"182 Parker Lake Drive, Oxford, MI, 48371",66,24
Hesperia MHP, Oceana ,99,"946 North Smith St Hesperia Mi 49421, Hesperia, MI, 49421",101,33
Holiday Shores, Oceana ,54,"7980 Village Rd, Mears, MI, 49436",102,32
Hylander Valley, Oceana ,71,"231 North Eastwood Road, Hart, MI, 49420",102,32
Sun Retreats Silver Lake, Oceana ,,"1441 N. 34th Street, Mears, MI, 49436",102,32
Evergreen Village Mobile Home Park, Oceana ,99,"946 N. Smith St., Hesperia, MI, 49421",101,33
Pines Mobile Home Park, Oceana ,48,"3241 72nd Street, Hart, MI, 49420",102,32
Green Lawn Mobile Home Court, Oceana ,40,"2725 Forest Street, Rothbury, MI, 49452",102,32
Evart Mobile Court, Osceola ,21,"201 Fair Street, Evart, MI, 49631",100,34
Young's Trailer Park, Osceola ,17,"521 East Church Avenue, Reed City, MI, 49677",100,34
Pheasant Ridge Estates, Wexford ,196,"399 Thistlewood Drive, Cadillac, MI, 49601",101,36
Shady Lane Trailer Court, Roscommon ,,"9671 Airport Road, Saint Helen, MI, 48656",105,36
Knollwood, Ottawa ,161,"4595 Knollwood Drive, Allendale, MI, 49401",89,30
Allendale Meadows, Ottawa ,352,"11400 Boyne Boulevard, Allendale, MI, 49401",89,30
Presidential Estates, Ottawa ,364,"5075 Presidential Lane, Hudsonville, MI, 49426",85,31
Country Hills Village, Ottawa ,236,"2200 Riley Street, Hudsonville, MI, 49426",43,31
Leisure Estates, Ottawa ,438,"523 Butternut Drive, Holland, MI, 49424",86,31
Windmill Estates, Ottawa ,400,"333 East Lakewood Boulevard, Holland, MI, 49424",86,31
Timberline Estates, Ottawa ,296,"260 Pin Oak Drive, Coopersville, MI, 49404",89,30
West Olive Estates, Ottawa ,741,"8930 146th Avenue, West Olive, MI, 49460",88,31
Lincoln Estates, Ottawa ,191,"1139 Lincoln Avenue, Holland, MI, 49423",86,31
Logan Estates, Ottawa ,378,"8697 Riley Street, Zeeland, MI, 49464",85,31
Brookshire Meadows West, Ottawa ,98,"1501 Port Sheldon Road, Jenison, MI, 49428",85,31
Country Estates, Ottawa ,255,"14700 State Road, Spring Lake, MI, 49456",88,31
North Shore Manufactured Home Community and RV, Ottawa ,123,"17990 North Shore Road, Spring Lake, MI, 49456",88,31
Village Green Mobile Home Park, Ottawa ,392,"1700 Robbins Road, Grand Haven, MI, 49417",88,31
Boulder Ridge, Ottawa ,96,"4370 Pingree, Allendale, MI, 49401",89,30
Crockery Mobile Home Park, Ottawa ,168,"13251 State Road, Nunica, MI, 49448",88,31
Forest Lake Estates, Ottawa ,221,"17147 148th Avenue, Spring Lake, MI, 49456",88,31
Grand Country Mobile Village, Ottawa ,52,"13401 84th Street, Coopersville, MI, 49404",89,30
Holiday West Village, Ottawa ,341,"3611 Butternut Drive, Holland, MI, 49424",86,31
Waverly Shores Village, Ottawa ,326,"11777 Riley Street, Holland, MI, 49424",86,31
Denton Township Trailer Park, Roscommon ,59,"808 Lake Street, Prudenville, MI, 48651",105,36
Lakeview Mobile Home Park, Roscommon ,49,"454 East Houghton Lake Drive, Prudenville, MI, 48651",105,36
Windmill Estates (Saginaw), Saginaw ,59,"5655 Dixie Highway, Saginaw, MI, 48601",94,26
Freeland Mobile Home Park, Saginaw ,122,"10340 Midland Road, Freeland, MI, 48623",97,35
Falconview Estates, Saginaw ,179,"9645 Meadowlark, Freeland, MI, 48623",97,35
Lawndale Estates, Saginaw ,667,"4509 Longmeadow Blvd W, Saginaw, MI, 48603",93,35
Birch Forest Manufactured Housing Community, Saginaw ,103,"1 Big Bear, Birch Run, MI, 48415",97,26
Saginaw Valley Mobile Home Park, Saginaw ,179,"6160 Davis Road, Saginaw, MI, 48604",97,35
Robin Glen, Saginaw ,505,"5720 East Washington Road, Saginaw, MI, 48601",97,35
Lakeview Estates on Lawndale, Saginaw ,122,"4231 Lawndale Road, Saginaw, MI, 48603",93,35
Birchwood Farms, Saginaw ,143,"8057 Birchwood Drive, Birch Run, MI, 48415",97,26
Edgewood Village Mobile Home Community, Saginaw ,198,"1490 South Graham Road, Saginaw, MI, 48609",93,26
Peachtree Manor, Saginaw ,86,"7575 Dixie Highway, Bridgeport, MI, 48722",97,26
Stoddard Mobile Court, Saginaw ,125,"16940 South Oakley Road, Chesaning, MI, 48616",71,34
Thomas Crossings, Saginaw ,43,"1723 Cranberry Lake Cir, Saginaw, MI, 48609",93,26
Burt Estates, Saginaw ,112,"11324 East Road, Burt, MI, 48417",93,26
Kris Kay Mobile Home Park, Saginaw ,302,"1800 Graham Road, Saginaw, MI, 48609",93,26
Birch Run Mobile Home Park, Saginaw ,50,"10670 Dixie Highway, Birch Run, MI, 48415",97,26
Saginaw Villas, Saginaw ,469,"4141 Dixie Highway, Saginaw, MI, 48601",94,35
Pleasant Valley Estates, Saginaw ,220,"16105 Doyle Road, Hemlock, MI, 48626",93,26
Bridgeport Mobile Home Park, Saginaw ,,"5948 Dixie Highway, Saginaw, MI, 48601",94,26
Evergreen Trailer Park, Saginaw ,,"614 Owosso Street, Chesaning, MI, 48616",71,26
St. Clair Place, Saint Clair ,100,"2700 Cox Road, Saint Clair, MI, 48079",64,25
The Lakes Estates, Saint Clair ,254,"5901 Lapeer Road, Kimball, MI, 48074",64,25
The Shores of Anchor Bay, Saint Clair ,659,"7061 Bethuy Road, Fair Haven, MI, 48023",63,12
Pinewood on the Lake, Saint Clair ,380,"2109 Redwood Avenue, Columbus, MI, 48063",65,25
Admirals Cove Senior Living, Saint Clair ,500,"10470 Dixie Hwy, Fair Haven, MI, 48023",63,12
Shangri La Mobile Home Community, Saint Clair ,270,"6900 South River Road, Marine City, MI, 48039",63,25
Channel View, Saint Clair ,303,"5150 Taft Road, Clay Township, MI, 48001",63,12
Indian Trail North, Saint Clair ,496,"3650 Metcalf Road, Burtchville, MI, 48059",64,25
Hunters Crossing, Saint Clair ,114,"150 Hunters Crossing Boulevard, Capac, MI, 48014",65,25
Algonac Mobile Home Park, Saint Clair ,30,"3812 Pointe Tremble Road, Algonac, MI, 48001",63,12
Marysville Senior Living, Saint Clair ,230,"3333 Ravenswood Road, Marysville, MI, 48040",64,25
Colonial Estates Mobile Home Park, Saint Joseph ,112,"501 Us Highway 131 North, White Pigeon, MI, 49099",36,17
Klines Resort, Saint Joseph ,244,"22260 Klines Resort Road, Three Rivers, MI, 49093",36,17
Meadow Lane Village, Saint Joseph ,127,"614 13th Street, Three Rivers, MI, 49093",36,17
Memory Lane Mobile Home Park, Saint Joseph ,227,"25039 West Us 12, Sturgis, MI, 49091",36,17
River Run Estates, Saint Joseph ,60,"800 East Hoffman Street, Three Rivers, MI, 49093",36,17
Sturgis Commons, Saint Joseph ,21,"960 W Chicago St, Sturgis, MI, 49091",36,17
Sweet Lake Mobile Home Park, Saint Joseph ,48,"31004 East Chicago Road, Sturgis, MI, 49091",36,17
Washburn Lake Village MHC, Saint Joseph ,42,"59502 Long Lake Road, Colon, MI, 49040",36,17
Village Mobile Home Court, Saint Joseph ,82,"121 South Erie Street, Three Rivers, MI, 49093",36,17
Michiana Mobile Home Park, Saint Joseph ,38,"231 1st St, Sturgis, MI, 49091",36,17
River Forest Mobile Home Park, Saint Joseph ,56,"19013 Fawn River Road, White Pigeon, MI, 49099",36,17
Golden Pond Mobile Home Park, Saint Joseph ,39,"61600 Youngman Road, Three Rivers, MI, 49093",36,17
Hickory Lane Mobile Home Park, Saint Joseph ,32,"14809 West M-60, Three Rivers, MI, 49093",36,17
River's Edge Mobile Home Community, Saint Joseph ,76,"135 North Jane Street, Centreville, MI, 49032",36,17
Camp Withers Mobile Home Park, Saint Joseph ,,"15717 Withers Road, Constantine, MI, 49042",36,17
Midway Mobile Home Park, Saint Joseph ,,"920 West Chicago, Sturgis, MI, 49091",36,17
Rocky's Hide Away, Saint Joseph ,,"Born Street, Three Rivers, MI, 49093",36,17
Huron Shores Estates, Sanilac ,189,"144 Shoreline East, Port Sanilac, MI, 48469",98,25
Eagles Landing Estates, Sanilac ,350,"2335 Peck Road, Croswell, MI, 48422",98,25
Lakeview Manufactured Home Community, Sanilac ,45,"5767 Main Street, Lexington, MI, 48450",98,25
Country Hill Pines, Sanilac ,97,"3997 Peck Road, Croswell, MI, 48422",98,25
Croswell Estates Mobile Home Park, Sanilac ,46,"20 Black River Road, Croswell, MI, 48422",98,25
Lexington North Shore Mobile Home Community, Sanilac ,228,"5203 Main Street, Lexington, MI, 48450",98,25
Deckerville Estates, Sanilac ,43,"2451 Black River Street, Deckerville, MI, 48427",98,25
Huron Bay Resort, Sanilac ,60,"2545 South Lakeshore Drive, Applegate, MI, 48401",98,25
Mapleview Estates, Sanilac ,124,"7120 Maple View Circle, Brown City, MI, 48416",98,25
Sandpiper Estates Co-op, Sanilac ,90,"6103 Lakeshore Road, Lexington, MI, 48450",64,25
Pine Terrace Estates, Sanilac ,56,"2236 Van Dyke Road, Marlette, MI, 48453",98,25
Marlette Subdivision, Sanilac ,,"Lilac Dr, Marlette, MI, 48453",98,25
Countryside Village, Shiawassee ,359,"4600 West Britton Road, Perry, MI, 48872",71,28
Candlewick Court, Shiawassee ,211,"1800 Candlewick Drive, Owosso, MI, 48867",71,28
Holiday Shores RV Resort, Shiawassee ,615,"10915 East Goodall Road, Durand, MI, 48429",71,28
Lakeview Estates, Shiawassee ,239,"8499 East M-71, Durand, MI, 48429",71,28
Leisure Lake, Shiawassee ,425,"10001 East Goodall Road, Durand, MI, 48429",71,28
Morrice Meadows, Shiawassee ,102,"335 E. Third St, Morrice, MI, 48857",71,28
Woods & Fields Communities - West, Shiawassee ,72,"2627 West M 21, Owosso, MI, 48867",71,28
Country Manor, Shiawassee ,44,"5649 Vernon Road, Durand, MI, 48429",71,28
Northwoods Community, Shiawassee ,97,"2100 North Hintz Road, Owosso, MI, 48867",71,28
Woods and Fields Communities - East, Shiawassee ,323,"2450 Krouse Road, Owosso, MI, 48867",71,28
Pleasant Valley Trailer Court, Shiawassee ,,"1704 South M-52, Owosso, MI, 48867",71,28
Van's Mobile Home Park, Shiawassee ,,"9720 East Lansing Road, Durand, MI, 48429",71,28
Creekside Manor, Tuscola ,140,"1655 South Reese Road, Reese, MI, 48757",97,26
Huntsville Mobile Home Park, Tuscola ,60,"6451 Main Street, Cass City, MI, 48726",98,25
Pebble Creek, Tuscola ,128,"1145 Bradford, Reese, MI, 48757",97,26
Pine Crest Mobile Home Estates, Tuscola ,89,"1771 Sunset Dr., Caro, MI, 48723",97,25
Riverview Park, Tuscola ,99,"985 Norma Drive, Caro, MI, 48723",97,25
Sugar Tree Estates, Tuscola ,207,"1347 Cambridge Lane, Caro, MI, 48723",97,25
Villageside Mobile Home Park, Tuscola ,16,"2378 North Thomas Road, Fairgrove, MI, 48733",97,26
Wood Valley Mobile Home Park, Tuscola ,141,"5651 Hasco Road, Millington, MI, 48746",97,26
Vassar Estates, Tuscola ,10,"5656 Freewald, Millington, MI, 48746",97,26
Depot Mobile Home Park, Van Buren ,100,"Dunkley Avenue, South Haven, MI, 49090",38,20
Caro Mobile Estates, Tuscola ,,"165 - 3rd Street, Caro, MI, 48723",97,25
Ber-Wa-Ga-Na Campground, Tuscola ,,"2601 W Sanilac, Vassar, MI, 48768",98,26
Leo's Cabins Trailer Park, Tuscola ,,"533 Goodrich Street, Vassar, MI, 48768",97,26
Walnut Trailer Park, Tuscola ,,"4118 South Seeger Street, Cass City, MI, 48726",98,25
Prospect Manor MHC, Van Buren ,52,"1012 S.  Lagrave Street, Paw Paw, MI, 49079",39,19
Applewood Mobile Home Park, Van Buren ,30,"53425 County Road 687, Hartford, MI, 49057",39,20
Lawrence Mobile Home Park, Van Buren ,60,"175 Corwin Road, Lawrence, MI, 49064",39,20
Meadowbrook Village, Van Buren ,50,"07120 - 68th Street, South Haven, MI, 49090",39,20
Mitchell Brothers Mobile Home Park East, Van Buren ,49,"75641 16th Ave, South Haven, MI, 49090",38,20
Phelps Mobile Home Park, Van Buren ,35,"56630 - 89th Avenue, Decatur, MI, 49045",39,20
The Ravines, Van Buren ,106,"73100 County Road 388, South Haven, MI, 49090",38,20
The Village View, Van Buren ,71,"Becky Blvd, Paw Paw, MI, 49079",39,20
Three Mile Lake Trailer Park, Van Buren ,48,"63381 - 41st Street, Paw Paw, MI, 49079",39,20
West Point Hills, Van Buren ,377,"53914 25th Street, Mattawan, MI, 49071",39,19
Singing Sands RV Park, Van Buren ,150,"262 74th St, South Haven, MI, 49090",38,20
Baseline Mobile Home Park, Van Buren ,75,"M-40 North, Gobles, MI, 49055",39,20
Viking River Mobile Home Park, Van Buren ,25,"63580 54th Avenue, Hartford, MI, 49057",39,20
Shady Brook Mobile Home Park, Van Buren ,20,"43910 30th St, Paw Paw, MI, 49079",39,20
Deal Mobile Home Village, Van Buren ,58,"24575 Pleasant Drive, Mattawan, MI, 49071",39,19
South Haven Manufactured Housing Community, Van Buren ,47,"73561 Chambers Street, South Haven, MI, 49090",38,20
Frosty Acres, Van Buren ,75,"Frosty Road, Lawton, MI, 49065",39,20
East Point Hills, Van Buren ,,"28910 25th Street, Mattawan, MI, 49071",39,19
Wolf Lake Mobile Home Park, Van Buren ,41,"24054 M-43 Route #1, Mattawan, MI, 49071",39,20
Augusta Woods, Washtenaw ,398,"8330 N. Brookston Drive, Willis, MI, 48191",31,15
Orchard Grove, Washtenaw ,290,"2835 South Wagner Rd., Ann Arbor, MI, 48103",33,14
Royal Holiday, Wayne ,436,"39500 West Warren Road, Lot 110, Canton, MI, 48187",24,5
Arbor Woods, Washtenaw ,458,"1993 Arbor Woods Boulevard, Ypsilanti, MI, 48198",32,15
Scio Farms, Washtenaw ,913,"6655 Jackson Road, Ann Arbor, MI, 48103",47,14
Lakeview , Washtenaw ,392,"9910 Geraldine Street, Ypsilanti, MI, 48197",32,15
Sylvan Crossing, Washtenaw ,138,"23351 Redwood Drive, Chelsea, MI, 48118",46,14
Northfield Estates, Washtenaw ,648,"158 Emerald Circle, Whitmore Lake, MI, 48189",48,14
Arbor Meadows, Washtenaw ,409,"5229 West Michigan Avenue, Ypsilanti, MI, 48197",32,15
Saline Meadows, Washtenaw ,148,"6564 East Michigan Avenue Lot 39, Saline, MI, 48176",33,15
Coachville MHC, Washtenaw ,121,"3423 Carpenter Road, Ypsilanti, MI, 48197",33,15
Hamburg Hills, Washtenaw ,152,"7243 Sheldon Road, Whitmore Lake, MI, 48189",48,22
Coventry Woods, Washtenaw ,195,"7243 Sheldon Road, Whitmore Lake, MI, 48189",48,22
Sunnyside Park, Washtenaw ,53,"2740 Packard, Ann Arbor, MI, 48108",33,15
Swan Creek, Wayne ,304,"23379 Island Drive, New Boston, MI, 48164",29,4
Timberlands, Washtenaw ,184,"3375 East Michigan Avenue, Ypsilanti, MI, 48198",32,15
Manchester Manor, Washtenaw ,116,"101 Hibbard Street, Manchester, MI, 48158",47,15
Saline Mobile Home Park, Washtenaw ,81,"475 North Maple Road, Saline, MI, 48176",33,15
Village Estates, Washtenaw ,71,"2580 Holmes Road, Ypsilanti, MI, 48198",32,15
Westridge Mobile Home Park, Washtenaw ,373,"1515 Ridge Road, Ypsilanti, MI, 48198",32,15
Whittaker Oaks, Washtenaw ,228,"11333 Whittaker Road, Whittaker, MI, 48190",31,15
College Park Estates, Wayne ,230,"51074 Mott Road #243, Canton, MI, 48188",24,5
Sherwood Village, Wayne ,385,"41275 Old Michigan, Canton, MI, 48188",25,5
Deerfield Estates, Wayne ,822,"26211 Telegraph Road, Flat Rock, MI, 48134",28,4
Metro Commons, Wayne ,227,"28745 Van Born Rd., Romulus, MI, 48174",26,4
Northville Crossing, Wayne ,756,"9800 Bloomsbury Circle, Northville, MI, 48167",23,14
West Village Estates, Wayne ,629,"7040 Shawnee, Romulus, MI, 48174",26,4
Academy / West Point, Wayne ,441,"41021 Old Michigan Ave, Canton, MI, 48188",25,5
Tela Valley Manufactured Home Community, Wayne ,488,"17707 Telegraph Road, Brownstown Township, MI, 48174",28,4
Holiday West, Wayne ,844,"50333 Willis Road, Belleville, MI, 48111",31,4
Plymouth Hills, Wayne ,632,"14150 D Drive, Plymouth, MI, 48170",23,13
Crestwood Estates, Wayne ,196,"26235 West Warren Avenue, Dearborn Heights, MI, 48127",15,2
Woodhaven Place, Wayne ,220,"23501 Van Horn Road, Woodhaven, MI, 48183",28,4
American Presidential Estates, Wayne ,503,"6300 West Adams, Belleville, MI, 48111",31,4
Rawsonville Woods, Wayne ,536,"10825 Rawsonville Road, Belleville, MI, 48111",31,4
North Huron Manufactured Housing Community, Wayne ,96,"33151 Fort Road Site #6, Rockwood, MI, 48173",28,4
Capitol Hills, Wayne ,503,"6300 West Adams, Belleville, MI, 48111",31,4